School Name,Prompt Number,Prompt
Florida International (FIU),4,"If you are accepted into medical school, how do you envision your lifestyle will change, and what challenges may await? Similarly, what do you think will be the most rewarding and difficult part of practicing medicine in the future? (1200 characters)"
Florida International (FIU),5,"Use this area to explain any exception to the prerequisites at your institution. (OPTIONAL, 1000 characters)"
Florida International (FIU),6,"Is there any additional information about your academic record that you would like the Admissions Committee to know? Please include any academic difficulties or course withdrawals. (OPTIONAL, 1000 characters)"
Florida International (FIU),1,"Please share any disruptions and/or challenges you have experienced this application year as a direct result of COVID-19 that you would like the Admissions Committee to consider in conjunction with your application. The following are some examples of topics for consideration, but are not limited to: academic preparations; extracurricular activities and/or experiences; personal and/or professional opportunities; or lessons and insights gained as a result of COVID-19. (1000 characters)"
Wayne State,2023,"2024 Wayne State Secondary Essay Prompts 1. When reflecting on the roles and responsibilities of a physician, discuss what appeals and does not appeal to you. (1250 characters)"
Wayne State,2,How would you address the inconsistencies between medical information and disinformation? How do these inconsistencies impact patients and society? (1250 characters)
Wayne State,3,List healthcare issues faced by marginalized communities and include their impact on social determinants of health. How would you address them?
Wayne State,4,Which of your experiences or activities align with WSU SOM’s mission? Please discuss how. (1250 characters)
Wayne State,5,"Please answer if you have had a gap (career change, re-applicant, additional education, etc.). A “gap” is defined as a period of time between the end of your undergraduate education and the start of medical school. What activities have you participated in or plan to participate in during this period? How does this relate to your future career in medicine?(1250 characters) Please mark N/A if this does not apply to you."
Kentucky,2023,2024 Kentucky Secondary Prompts 1. Why have you chosen to apply to the University of Kentucky College of Medicine? (1500 char)
Kentucky,2,"The University of Kentucky College of Medicine's (UKCOM) mission statement promotes a diverse and inclusive environment that provides excellence in education, equitable health care, and transformative research to improve the health and wellness of Kentuckians and beyond. Please describe how your past experiences or future plans contribute to enriching and enhancing the learning environment at UKCOM. (1500 char)"
Kentucky,3,"If you are a non Kentucky resident, you are required to elaborate on your Kentucky ties if applicable (personal, familial e.g.) (700 char)"
Kentucky,4,"UKCOM provides MD programs at four campuses including the Lexington Campus, the Morehead Campus (Rural Physician Leadership Program), the Bowling Green Campus, and the Northern Kentucky Campus. You will apply to one of the four UK College of Medicine campuses. Please indicate your campus choice. Please elaborate on why this is your preferred campus. (700 char)"
Kentucky,5,What competencies and qualities do you feel a physician should possess? (1500 char)
Kentucky,6,Describe a personal activity involving advocacy and/or community service that has impacted your personal values about delivering equitable patient care. (2000 char)
Kentucky,7,Describe an experience or situation which made you feel grateful? (1500 char)
Kentucky,8,"It is impossible to have predicted the drastic impact caused by the novel coronavirus identified as COVID-19. Describe how this has impacted your social interactions, connections with peers, and perception of teamwork. (1500 char)"
Kentucky,9,"Please share unique, personally important, and/or challenging facts in your life and/or work experiences. Please discuss how such factors have influenced your goals and preparation for a career in medicine. (2500 char)"
Kentucky,10,Describe a situation where you were not in the majority. (1500 char)
UT Southwestern (UTSW),1,Describe a group project or activity that you are most proud of. Consider the following in your response: What aspect makes you most proud? How was it accomplished? How did you deal with disagreement or conflict in the group? How did you get fellow group members to embrace a position or view your perspective? (2500 characters)
UT Southwestern (UTSW),2,"Describe a time that you have witnessed someone acting unethically or dishonestly, or an experienced behavior of harassment or discrimination. What did you do? Describe your reaction, is there anything you might do differently now in retrospect. (2500 characters)"
UT Southwestern (UTSW),3,"Describe an interaction or experience that has made you more sensitive or appreciative of cultural differences, and/or how you have committed yourself to understanding and aiding in the pursuit of equity and inclusion in your academic, professional or personal life. (2500 characters)"
UT Southwestern (UTSW),4,"(Optional) Have you engaged in any public service activities for a duration of one year or greater in length (examples: Military, Peace Corps, Teach for America, etc.). Yes or No? If so, please describe the experience and impact on your personal and professional development. (2500 characters)"
UT Southwestern (UTSW),5,(Optional) Please explain any academic discrepancies or extenuating circumstances that you feel the Admissions Committee should know.
University of Southern California (Keck),2023,2024 University of Southern California (Keck) Secondary Essay Prompts: 1. What is the most fun you’ve had lately? (65 word limit)
University of Southern California (Keck),2,"If you had to give yourself a nickname, what would it be? (65 word limit)"
University of Southern California (Keck),3,What are three things you don't care about at all? (65 word limit)
University of Southern California (Keck),4,Describe a situation in which you didn’t get something you felt you deserved. (65 word limit)
University of Southern California (Keck),5,Are you a member of a group that is under-represented in medicine? (If yes) Which Group? How does under-representation affect your community? (200 word limit)
University of Southern California (Keck),6,"Have you previously applied to medical school (M.D. , D.O., international)? (If yes) Upon reflection, what do you think went wrong? (200 word limit)"
University of Southern California (Keck),7,"(Optional): Is there anything else you would like us to know? If yes, please answer the question in 200 words or less."
Loyola (Stritch),2023,"2024 Loyola (Stritch) Secondary Prompts Note: Most of these should have a 500 word limit, but please verify, particularly for the questions that only apply to certain applicants."
Loyola (Stritch),2,"Social justice in the Jesuit tradition, justice due each person by virtue of their own inherent human dignity, is an essential dimension of education at SSOM. Describe what you have learned about yourself from your concrete social justice experiences. Explain how you plan to sustain your efforts to advocate for current social justice issues as a medical student and as a physician."
Loyola (Stritch),3,Serving underserved and under-resourced communities is an expression of social justice. Describe an impactful experience in working with and for under-resourced communities. Explain what you have learned about yourself through this service OR what has hindered your efforts to serve others in these environments.
Loyola (Stritch),4,Describe a time you received feedback about your performance and disagreed with the feedback. What did you disagree with? How did you handle it?
Loyola (Stritch),5,"Describe a non-academic personal/professional challenge or conflict that you have experienced. Explain what skills, resources and/or strategies you employed to resolve the problem."
Loyola (Stritch),6,Have you or any of your relatives attended or been employed by Loyola University Chicago or the Stritch School of Medicine?
Loyola (Stritch),7,"13 IF APPLICABLE*** 7. Please indicate additional grades earned, amendments to your proposed coursework or graduation date, address changes, additions to your list of experiences, and anything else you feel we should know."
Loyola (Stritch),7,"13 IF APPLICABLE*** 8. Please explain in more detail (in less than 1500 characters) anything that would help us understand any gaps or delays in your education, academic missteps, or personal challenges not listed elsewhere."
Loyola (Stritch),7,"13 IF APPLICABLE*** 9. If you have not been enrolled in coursework for over two years, please let us know what you have been doing since your coursework ended."
Loyola (Stritch),7,"13 IF APPLICABLE*** 10. Have you applied to SSOM prior to this application? If so, please list the years of your previous application submissions to SSOM and tell us how your application has improved since your previous submission."
Loyola (Stritch),7,"13 IF APPLICABLE*** 11. Are you currently, or have you been, enrolled in any of the following programs?"
Loyola (Stritch),12,"Have you ever been convicted of a crime other than a minor traffic or parking violation? If the answer is yes, please explain below."
Loyola (Stritch),13,"If you did not submit an advisor or committee letter, please tell us why."
Buffalo (Jacobs),2023,"2024 Buffalo (Jacobs) Secondary Essay Prompts 1. In 500 words or fewer, please explain your reasons for applying to the Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo. Please be specific."
Buffalo (Jacobs),2,"In 500 words or fewer, please explain how you would respond to a fellow student who muttered a racist or homophobic statement under their breath in your presence and that of other peers?"
Illinois,2023,"2024 Illinois Secondary Prompts No character limit is indicated, brevity is typically appreciated by schools as rule of thumb."
Illinois,1,"What characteristics, qualities, or attributes do you possess that have helped you to deal with conflict and change?"
Illinois,2,"Which characteristics, qualities, or attributes of UICOM attracted you to apply for medical school here?"
Illinois,3,"An important part of UICOM’s identity is the concept of “one college, three campuses.” The curriculum is identical on each campus; however, each campus has unique characteristics. Please describe what you have learned about at least two of our three campuses."
Illinois,4,What are some of the causes and consequences of prejudice and injustice? What does an individual’s response to prejudice and injustice reveal about their character? What is the role of a bystander who witnesses prejudice or injustice?
Illinois,5,"UICOM values a wide range of perspectives. Describe an aspect of your own perspective, value system, or lived experience that is important to you and how it would contribute to the diverse and collaborative community at UICOM."
Illinois,6,Have you applied for admission to medical school previously?
Illinois,7,Have you ever matriculated into and not completed a professional/graduate program?
UC Riverside,2023,"2024 UC Riverside Secondary Essay Prompts (250 words each) 1. The mission of the UCR School of Medicine is to improve the health of the people of California and, especially, to serve Inland Southern California by training a diverse workforce of physicians and by developing innovative research and health care delivery programs that will improve the health of the medically underserved in the region and become models to be emulated throughout the state and nation. What experiences, skills, and abilities will you bring to the class to fulfill this mission?"
UC Riverside,2,"The values of the UCR SOM are integrity, innovation, inclusion, excellence, accountability and respect. Please"
UC Riverside,2023,2024 UC Riverside Secondary Essay Prompts (250 words each) and tell us how you have personally experienced it or have seen it emulated in a clinical setting.
UC Riverside,3,In what type of healthcare setting do you see yourself practicing medicine?
UC Riverside,4,Tell us about a personal challenge you have faced in your life thus far and how you demonstrated resilience and grit to overcome it. [
UC Riverside,2023,2024 UC Riverside Secondary Essay Prompts (250 words each) Please do not write about studying for or taking the MCAT.
UC Riverside,2023,2024 UC Riverside Secondary Essay Prompts (250 words each) ]
UC Riverside,2023,"2024 UC Riverside Secondary Essay Prompts (250 words each) If there is anything you would like the committee to consider about your candidacy that is not explained elsewhere in your application, please use this space to tell us. "
Michigan,2023,2024 Michigan Secondary Essay Prompts: Essay 1
Weill Cornell,2023,2024 Weill Cornell Secondary Essay Prompts: (1525 characters each) 1. Please write a brief statement giving your reasons for applying to Weill Cornell Medical College.
Weill Cornell,2,Please describe a challenge you faced and how you addressed it. 
Weill Cornell,3,"If applicable, please tell us about any special circumstances related to COVID-19 that could help us understand you better."
Weill Cornell,4,"If you are not attending college during the upcoming (2023-2024) academic year, what are your plans?"
Mercer,2023,2024 Mercer Secondary Prompts (230 word limit each) 1. Please provide below an alternate e-mail address (different from the one listed on the Primary AMCAS Application) to which we can send you correspondence related to your application. (Required)
Mercer,2,Please provide a cell phone number at which you can be contacted in reference to your application. (Required)
Mercer,3,"Please address any institutional action, including honor code or conduct code violations, from your time as an undergraduate and graduate student. (Required)"
Mercer,4,"If you wish to discuss your perceptions of your academic readiness for the rigors of a medical school curriculum or explain poor grades in college coursework or MCAT scores to the Admissions Committee, please do so below."
Mercer,5,What is your understanding of the practice of rural medicine?
Mercer,6,Do you consider yourself to have been raised or to be residing in an area that is medically underserved or in a county that consists of medically underserved populations? By medically underserved we mean populations vulnerable to poor health due to difficulties accessing adequate health care services. This may be due to factors including but not limited to: education level; poverty; being uninsured or underinsured; lack of a usual source of care other than the emergency department; belonging to a socially marginalized group with poorer health outcomes; cultural or language barriers to receiving quality medical care; distance or lack of transportation to needed medical care. Please explain.
Mercer,7,"The mission of Mercer University School of Medicine (MUSM) is to educate physicians and health professionals to meet the health care needs of medically underserved and rural areas of Georgia. Summarize your work and learning experiences that you believe reflect congruence with this mission. Based on your understanding of our mission, where and what do you envision yourself doing after completion of medical school and residency?"
Mercer,8,"If you wish to, please briefly explain to the Admissions Committee experiences, attributes, or qualifications you believe are unique to you that will strengthen the educational environment at MUSM. "
Mercer,9,"Please explain to the Admissions Committee factors that you could not highlight above that would help the Admissions Committee better understand your unique circumstances. If you would like to briefly highlight any substantial updates with regard to your application (example, volunteer experiences) that have occurred after you submitted the Primary AMCAS Application, please summarize them below."
Mercer,10,Describe your experiences in service to others and your community and how they have helped prepare you to be a physician.
Albany,2023,2024 Albany Secondary Essay Prompts 1. Describe yourself (1000 characters)
Albany,2,"Please explain any inconsistencies in your university, graduate, or professional school academic performance and/or MCAT scores. If the question does not apply to you, please put N/A in the box provided (1000 characters)."
Albany,3,"Has your college or university, graduate or professional school attendance been interrupted for any reason? If yes, please explain. Also, please explain any extended gaps in activity/employment in your post-graduate history. If the question does not apply to you, please put N/A in the box provided (1000 characters)."
Albany,4,Describe a significant challenge that has prepared you for the MD career path (1000 characters).
Albany,5,"Please describe your personal experiences with the structural and social determinants of health in your life and community, how they shaped your engagement with medicine and your future ideas for doctoring (1000 characters)."
Albany,6,Tell us about a community with which you identify and how you are involved with it (1000 characters).
Albany,7,"Is there anything else you would like the admissions committee to know when reviewing your application? If so, please use the space provided (1000 characters)."
Columbia (Vagelos),2023,2024 Columbia (Vagelos) Secondary Essay Prompts: 1. Have you previously applied to Medical School? Comments: (200 characters)
Columbia (Vagelos),2,"If you took time off from your undergraduate studies, please briefly summarize your reasons for doing so. (250 words)"
Columbia (Vagelos),3,"Did you work for compensation during college (either during the school year or summers)? If so, what did you do? How many hours a week did you work? (300 words)"
Columbia (Vagelos),4,"If you have graduated from college, please briefly summarize what you have done in the interim. (300 words)"
Columbia (Vagelos),5,Please describe your most meaningful leadership positions. (300 words)
Columbia (Vagelos),6,Columbia Vagelos College of Physicians and Surgeons values diversity in all its forms. How will your experiences contribute to this important focus of our institution and inform your future role as a physician? (300 words)
Columbia (Vagelos),7,Is there anything else you would like us to know? (400 words)
Nebraska,2023,"2024 Nebraska Secondary Essay Prompts: 1. If you have been away from full-time academics for more than two years, please explain. (N/A if not applicable) (750 characters) "
Nebraska,2,"If you are a re-applicant to the UNMC College of Medicine, how is your application different this year? (N/A if not applicable) (750 characters) "
Nebraska,3,"If this is your first application to UNMC, but not your first application to medical school, what is your rationale for applying to UNMC this cycle? (N/A if not applicable) (750 characters)"
Nebraska,4,"What is your personal rationale for applying to the UNMC College of Medicine, especially if you are not from Nebraska? (1000 characters) "
Nebraska,5,What are you most proud of in your life? (1500 characters) 
Nebraska,6,Tell us about a time when you have had to overcome adversity. (1500 characters)
Nebraska,7,Tell us something about yourself that will enhance the UNMC College of Medicine? (1500 characters) 
Nebraska,8,What have you learned from working with people whose background is different from yours? (1500 characters) 
Hackensack Meridian,2023,2024 Hackensack Meridian Secondary Prompts 1. Why are you interested in attending the Hackensack Meridian School of Medicine? (500 words)
Hackensack Meridian,2,"Hackensack Meridian School of Medicine values social justice and diversity in all its forms. Describe a circumstance where you sought to learn about a culture, group or idea different than your own and how that impacted you. (500 words)"
Hackensack Meridian,3,"Describe your experience with the field of medicine (or a related field) that has prepared you for advanced study in this area. Specifically, how have your life experiences prepared you to pursue a degree in medicine, including: coursework, clinical work, experiences in overcoming adversity, work opportunity, volunteer activities, and/or research experiences? (500 words)"
Arizona - Tucson,2023,2024 Arizona - Tucson Secondary Essay Prompts Please share a meaningful experience you have had working or volunteering in the health professional field or a time in your past in which you were responsible for the care and well-being of someone else. What did you learn from this as it relates to becoming a physician? (Limit: 350 words)
Boston University,2023,2024 Boston University Secondary Essay Prompts 1. Did you go on to college directly after high school? (1400 characters)
Boston University,2,Are you expecting to go on to medical school directly after completing your undergraduate degree?*
Boston University,3,"If you have spent more than 4 years as an undergraduate, please explain below. (You may skip this question if you have graduated within 4 years.) (1400 characters)"
Boston University,4,"Please provide a narrative or timeline to describe any features of your educational history that you think may be of particular interest to us. For example, have you lived in another country or experienced a culture unlike your own, or worked in a field that contributed to your understanding of people unlike yourself? Or, have you experienced advanced training in any area, including the fields of art, music, or sports? This is an opportunity to describe learning experiences that may not be covered in other areas of this application or your AMCAS application. It is not necessary to write anything in this section. Also, use this section to explain any impact that COVID-19 may have had on your educational/research/volunteering or employment plans. (2000 characters)"
Boston University,5,"Boston Medical Center is the largest safety net hospital in New England, serving primarily people who are publicly insured, people of color, immigrants, and low-income people in the Greater Boston Area. Why are you specifically interested in beginning your medical education in this environment, and how do you feel that your previous experiences will prepare you for this unique learning environment? (3000 characters)"
Boston University,6,"Use the space below to provide additional information you feel will provide us with a comprehensive understanding of your strengths as a candidate for a career in medicine. This should include only information NOT already included in your AMCAS or other sections of the Chobanian & Avedisian SOM Supplemental Application. Most applicants leave this blank. Yes, it's really optional. (3000 characters)"
Boston University,7,Re-Applicant Comment - This section may be used by re-applicants who wish to highlight specific areas of their application or to outline specific changes since their last application. (3000 characters)
Nova Southeastern (MD),2023,2024 Nova Southeastern (MD) Secondary Prompts Please provide an example that indicates your ability to function effectively as a productive member of a team working toward a common objective. Elaborate on leadership roles you held in this capacity and how you solved problems that arose. Indicate highlights learned from this experience. (Maximum 4000 characters)
Nova Southeastern (MD),2023,2024 Nova Southeastern (MD) Secondary Prompts Please share some personal examples of problem solving in a team environment and/or leadership experience that would lead to your success in a Problem Based Learning environment. (Maximum 4000 characters)
Nova Southeastern (MD),2023,"2024 Nova Southeastern (MD) Secondary Prompts At NSU M.D., we value the unique perspective that each applicant brings. Identify any traits, life experiences, or interests that a professor or advisor would not normally know about you. (Maximum 4000 characters)"
Nova Southeastern (MD),2023,"2024 Nova Southeastern (MD) Secondary Prompts How has your academic work beyond the “traditional” pre-medical school requirements (i.e., introductory biology, general chemistry, organic chemistry, and introductory physics) prepared you for medical school and for a career in medicine? Please highlight any service learning activities that align with humanism in medicine. (Maximum 4000 characters)"
Nova Southeastern (MD),2023,"2024 Nova Southeastern (MD) Secondary Prompts Is there a time gap between earning your last degree (baccalaureate or other) and the expected time of your medical school matriculation? If yes, please explain. (Maximum 4000 characters)"
Nova Southeastern (MD),2023,"2024 Nova Southeastern (MD) Secondary Prompts Were you employed full-time (or part-time) during your undergraduate or graduate years? If yes, please explain. (Maximum 4000 characters)"
Nova Southeastern (MD),2023,"2024 Nova Southeastern (MD) Secondary Prompts Do you believe that you are a member of a group that is under-represented in medicine? If yes, please explain. (Maximum 4000 characters)"
Nova Southeastern (MD),2023,"2024 Nova Southeastern (MD) Secondary Prompts Please explain any gaps or inconsistencies in either academic or standardized test performances throughout your undergraduate, graduate, or post-graduate career. (this has no word limit as far as I can tell)"
Nevada - Las Vegas,2023,2024 Nevada - Las Vegas Secondary Essay Prompts (250 word limit each) 1. Why are you interested in the Kerkorian School of Medicine at UNLV and how does your background and future goals contribute to our mission?
Nevada - Las Vegas,2,Briefly discuss how you envision yourself contributing to the care of our growing and diverse population in the state of Nevada.
Nevada - Las Vegas,3,Provide a BRIEF chronological list of your time since graduating from high school up to the point of applying to medical school. Do not write in essay form here. This should be a list by years.
Nevada - Las Vegas,2023,2024 Nevada - Las Vegas Secondary Essay Prompts (250 word limit each) (This field is not required.)
Nevada - Las Vegas,2023,"2024 Nevada - Las Vegas Secondary Essay Prompts (250 word limit each) You are welcome to share with the Admissions Committee any disruptions or impact to your application components, the application process, and/or your personal life (for example during COVID-19). "
Nevada - Las Vegas,5,"If you have any other information you believe is important for the Admissions Committee to consider, please include it here. Do not restate information already in your primary AMCAS application."
Nevada - Las Vegas,2023,2024 Nevada - Las Vegas Secondary Essay Prompts (250 word limit each) to explain which Western states you should be from to be considered for UNLV and what are considered Nevada ties.
Kaiser Permanente (Tyson),2023,"2024 Kaiser Secondary Essay Prompts 1. During your career as a physician, you will potentially encounter obstacles, and be required to overcome challenges. Please describe your experience with a situation that had an unfavorable outcome, including your reaction, how you might have responded differently, and what you learned about yourself. (250 words)"
Kaiser Permanente (Tyson),2,"Kaiser Permanente is committed to advancing equity, inclusion, and diversity for all. How will you contribute to the diversity of the Kaiser Permanente Bernard J. Tyson School of Medicine? (250 words)"
Kaiser Permanente (Tyson),3,"Lifelong learning is an essential process for continued professional development. This includes reflection and being open and responsive to constructive feedback. Please tell us about an area of intellectual exploration you’re passionate about, and your approach to exploring this area. (250 words)"
Kaiser Permanente (Tyson),4,(Optional) Please describe how you have been impacted by the COVID-19 pandemic (no limit)
Southern Illinois,2023,"2024 Southern Illinois Secondary Essay Prompts The mission of SIU School of Medicine is to assist the people of central and southern Illinois in meeting their health care needs through education, patient care, research and service to the community."
Southern Illinois,1,"SIU School of Medicine uses a holistic approach to identify students who best fulfill its mission: to assist the people of central and southern Illinois in meeting their health care needs through education, patient care, research and service to the community. In what ways do you believe you would contribute to SIU’s mission and what barriers have you overcome in your life’s circumstances to reach this point in applying to medical school? Please limit your response to 300 words or less."
Southern Illinois,2,Tell us about your lived experiences that will make you a better physician? Please limit your response to 300 words or less.
Southern Illinois,3,"To be successful as a student at SIU School of Medicine and as a practicing physician, you must be flexible and committed to cultivating and employing critical interactive and learning skills. Describe your experiences that demonstrate: contribution in a teamwork setting; engagement in self-directed and life-long learning (taking personal initiative to identify and address your learning goals and needs); and exposure to the small group tutorial process used in a problem-based learning environment. Please limit your answer to 500 words or less."
Southern Illinois,4,"If you have previously applied to SIU School of Medicine, please describe how you feel you have strengthened your credentials since that application. Please limit your answer to 300 words or less."
Southern Illinois,5,"Have you ever been convicted of a felony? Have you ever been convicted with a misdemeanor other than a minor traffic offense? Have you ever been charged with a felony or a misdemeanor other than a minor traffic offense, or with misconduct on any college campus? If you answered 'YES' to any of the three preceding questions, please explain the relevant circumstances. (no character limit given)"
North Carolina - Chapel Hill,2023,2024 North Carolina - Chapel Hill Secondary Essay Prompts: )
North Carolina - Chapel Hill,1,Describe an experience where you attempted a task and realized during the process that you were not ready for it. How did this experience impact your approach to trying new things? (250 words)
North Carolina - Chapel Hill,2,How will your life experiences foster a positive educational environment and benefit your future patients? (250 words)
North Carolina - Chapel Hill,3,Discuss your involvement in a service activity that has impacted your understanding of healthcare and your desire to pursue a career in medicine. (250 words)
North Carolina - Chapel Hill,4,What motivates you to apply to the UNC School of Medicine? (200 words)
North Carolina - Chapel Hill,5,Reapplicant essay available if you are one
Wisconsin,1,"The Admissions Committee is committed to holistic, mission-aligned evaluation of all applicants. Review our institution’s mission. Using specific examples, discuss how and why you believe you are a good fit for the University of Wisconsin School of Medicine and Public Health. (500 words max.)"
Wisconsin,2,"Diversity, equity, and inclusion are core values of UWSMPH and crucial to the education of tomorrow’s physicians. Reflect on how you would embody these values in your education or practice. (250 words max.)"
Wisconsin,3,"Integrity, accountability, and compassion are UWSMPH core values. Pick one of these and reflect on your lived experience with it. (250 words max.)"
Wisconsin,4,"Many inequities exist at the intersection between health outcomes and historical, societal, economic, or other systemic factors. Choose a broader issue or policy that impacts health outcomes where you believe change is needed to advance health equity. Discuss the role you hope to play as a physician in addressing this issue. (250 words max.)"
Wisconsin,5,"(OPTIONAL) If germane to your overall application, please share in a brief paragraph how COVID-19 impacted your application in any of the following domains:"
Northwestern (Feinberg),2023,2024 Northwestern (Feinberg) Secondary Prompts All 200 word max limits.
Northwestern (Feinberg),1,FEINBERG CURRICULUM: Describe which part (s) of Feinberg’s integrated curriculum you are most excited to engage in and best align with your learning style. 
Northwestern (Feinberg),2,"COPING STRATEGIES: Describe specific steps you take to manage your stress and maintain wellness while balancing personal, educational, and professional responsibilities."
Northwestern (Feinberg),3,"FUTURE CAREER PLANS: Feinberg’s mission is to train future leaders in medicine who will serve their patients, communities and society. Describe one specific goal within medicine and how FSM, located in Chicago, will help you achieve this professional goal."
Northwestern (Feinberg),4,"POST-UNDERGRADUATE EXPERIENCES (if applicable): If you have one year or more between college graduation and medical school matriculation, describe both your completed activities and future plans during the gap period. "
Northwestern (Feinberg),5,"REAPPLICANT (if applicable): If you are reapplying to medical school, please address steps taken to improve your application."
Northwestern (Feinberg),6,FEINBERG SCHOOL OF MEDICINE RELATIONSHIP
Northwestern (Feinberg),7,"Personal Narrative: The Feinberg School of Medicine values the totality of our students’ experiences. As everyone has their own narrative, please provide more detail about how your unique experiences would enrich the Northwestern community."
Quinnipiac,2023,"2024 Quinnipiac Secondary Essay Prompts 1. If you will not be enrolled as a full-time student, how will you be spending/intend to spend your time during your application year? If you are a re-applicant, please address steps taken to improve your application for medical school. (200 words)"
Quinnipiac,2,Why is it important to you to go into medicine and become a physician? (200 words)
Quinnipiac,3,What quality or attribute do you think is most important in being a physician? Please explain. (200 words)
Quinnipiac,4,"As a medical student and future physician, you will be faced with many uncertain situations. Please describe a situation when you were asked to do something that was beyond your capabilities. How did you handle the situation? Please provide a specific example. (400 words)"
Quinnipiac,5,"Netter SOM is a diverse and inclusive community, and we believe that each person brings their own unique experiences and attributes. How have your experiences, personal/family background or personal identity impacted your values and attitudes in working with others who will be both similar and different from you? (400 words)"
Quinnipiac,6,"If applicable, please address any withdrawals, repeated courses, leaves of absence or breaks in your undergraduate education that are not explained in your application."
Michigan State,2023,"2024 Michigan State Secondary Essay Prompts (note that this is displayed on their secondary: ""I certify that all written passages from this secondary application are my own and have not been written, in part or in whole, by another author and are not the product of artificial intelligence."")"
Michigan State,2023,2024 Michigan State Secondary Essay Prompts 1. Imagine and reflect upon your life and medical career at the time of retirement. What do you envision being your proudest/most significant accomplishment? (500 words)
Michigan State,2,"American society has been reckoning with a variety of systemic injustices throughout its history. Considering your life experiences up to now, share your thoughts and perspectives about this statement using the lens from which you view the world around you. (500 words)"
Michigan State,3,Consider three or four words and/or phrases from your medical school application that you use to describe or characterize yourself. Pick one (or a completely different one) that is underdeveloped to provide additional written narrative to the committee as to why you’ve decided to pursue a career in medicine. (500 words)
Michigan State,4,"Use the space below to reflect upon your COVID-19 public health crisis experiences, challenges, and/or insights. (500 words)"
Michigan State,5,"If you could present yourself to the Admissions Committee, what would you want to make sure they knew (or remembered) about you?"
Brown (Alpert),2023,2024 Brown (Alpert) Secondary Essay Prompts 1. Summarize your activities
Brown (Alpert),2023,2024 Brown (Alpert) Secondary Essay Prompts during the 2023-2024 academic year.
Brown (Alpert),2023,2024 Brown (Alpert) Secondary Essay Prompts Describe how your activities are preparing you for a medical career. (2000 characters)
Brown (Alpert),2,"How will your unique attributes, life experiences, and interests add to the Alpert Medical School community? (2000 characters)"
Brown (Alpert),3,"Reflect on a situation when you had to change course, and how you did so. (3000 characters)"
California Northstate,2023,2024 California Northstate Secondary Prompts 1. Why have you chosen to apply to CNUCOM? (250 words maximum)
California Northstate,2,"In the medical profession, you will be exposed to students, faculty, colleagues, and patients of various cultures and socioeconomic backgrounds. How has your involvement with diverse populations prepared you for potentially four years in Elk Grove, the greater Sacramento area, and the rest of the Central Valley? (250 words maximum)"
California Northstate,3,"Did you have a Pre-Health Advisor at your undergraduate institution? If so, please tell us about your experience. How did it help you in your journey to to apply to medical school? If not, please let us know how you worked independently to find out more about applying to medical school and the path of your journey to apply?"
California Northstate,4,In which direction would you like to see healthcare progress over the next decade? (250 words maximum)
California Northstate,5,"If your education has not been continuous since high school, please explain why. Examples of discontinuities include time taken off while obtaining your undergraduate degree, in addition to gap years. (250 words maximum)"
California Northstate,6,"If you have previously applied to medical school, what have you accomplished since that time that would warrant your admission now? (250 words maximum)"
California Northstate,7,Is there anything you would like the Admissions Committee to know that is not reflected elsewhere in your application? (250 words maximum)
California Northstate,8,"How do you feel about standardized tests? How did you prepare for the MCAT? What tools or preparatory courses/material did you use and how did you study? Do you feel like your score reflects how you will perform in medical school? From what you have learned, do you think it will help you in the way you will study or prepare for USMLE exams?"
 Einstein,2023,"2024 Einstein Secondary Prompts (you ""could"" use 3000 characters for any that need explaining, but the essays everyone ""should"" probably use are F and G.)"
 Einstein,2023,"2024 Einstein Secondary Prompts **Note, many of these are only to be filled out if it applies to you or they just want basic details as opposed to essays.**"
 Einstein,2023,2024 Einstein Secondary Prompts A. HISTORY
 Einstein,2023,2024 Einstein Secondary Prompts I have taken time off from school between high school and college.
 Einstein,2023,2024 Einstein Secondary Prompts I have taken time off from school during my undergraduate years.
 Einstein,2023,"2024 Einstein Secondary Prompts I have taken at least a year off from school since college graduation, including this year that I am applying."
 Einstein,2023,"2024 Einstein Secondary Prompts I have taken and received credit for online science core courses (e.g. chemistry, biology, organic chemistry, physics and mathematics) that were taken prior to the Covid Pandemic (earlier than Spring 2020)."
 Einstein,2023,2024 Einstein Secondary Prompts I have applied previously to medical school.
 Einstein,2023,2024 Einstein Secondary Prompts I have submitted an AMCAS application to Einstein previously.
 Einstein,2023,2024 Einstein Secondary Prompts I am/was a graduate student in the Graduate Programs in the Biomedical Sciences of Albert Einstein College of Medicine.
 Einstein,2023,2024 Einstein Secondary Prompts I was accepted to medical school previously but did not attend.
 Einstein,2023,2024 Einstein Secondary Prompts I was previously enrolled in medical school.
 Einstein,2023,2024 Einstein Secondary Prompts I can attest that I have fulfilled the Albert Einstein College of Medicine COMPETENCIES (Course Requirements | M.D. Admissions | Albert Einstein College of Medicine) for admission.
 Einstein,2023,2024 Einstein Secondary Prompts I will have a Baccalaureate Degree by the time I matriculate into medical school.
 Einstein,2023,2024 Einstein Secondary Prompts I am presently holding a deferral from another medical / graduate / professional school.
 Einstein,2023,"2024 Einstein Secondary Prompts I have received a grade of ""F"" during my college/graduate school years."
 Einstein,2023,"2024 Einstein Secondary Prompts I have received a grade of ""D"" during my college/graduate school years."
 Einstein,2023,2024 Einstein Secondary Prompts B. HISTORY CONTINUED
